ChIJE5WTVy_1QQ0R9F2UO0QX010,Trujillo Restaurante,,"Calle del Rio Jordan, 18, Parla",916050924,,,,,4.6,,"{""restaurant"", ""bar"", ""food"", ""point_of_interest"", ""establishment""}",1
ChIJmw0mADv1QQ0Ro7YkwVhiTRE,Restaurante Doner Kebab Alí Baba,,"Calle San Antón, 10, Parla",916057327,,,,,3.9,,"{""restaurant"", ""meal_delivery"", ""meal_takeaway"", ""food"", ""point_of_interest"", ""establishment""}",0
ChIJc21jljr1QQ0Rp1Y9eSobrP8,LA CASA DEL JAMON DON RODRIGO,,"Calle Ramón y Cajal, 10, Parla",916051901,,,,,4.6,,"{""store"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""}",1
ChIJDTkKYyX1QQ0Rrt0q-aWmIJU,Los Cafeteros De parla,,"Calle Jerusalén, 17, Parla",912639085,,,,,4.4,,"{""meal_delivery"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""}",1
ChIJ-5tsuy_1QQ0RNJpR9BAc_es,Pollerías Velasco,,"Calle de la Fuente, 15, Parla",916983360,,,http://www.polleriasvelasco.es/,,4.8,,"{""restaurant"", ""food"", ""point_of_interest"", ""establishment""}",1
ChIJRafRhzD1QQ0R5HBbrcqePBg,Restaurante Chanab Doner Kebab,,"Calle Iglesia, 5, Parla",916054364,,,http://www.chanabdonerkebab.es/,,3.8,,"{""meal_delivery"", ""meal_takeaway"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""}",0
ChIJwxZ8dDv1QQ0RUGKeLHzn6Ms,La Blanca Paloma,,"Avenida de la Escuela Pública, 7, Parla",916990440,,,,,4.0,,"{""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""}",1
ChIJD-gWVjr1QQ0R8VgmO5KZCgA,Mesón Don Pedro,,"Calle Carlos V, 4, Parla",916228046,,,,,4.3,,"{""restaurant"", ""food"", ""point_of_interest"", ""establishment""}",1
ChIJdeckZHn1QQ0R6bsTBTHvBfg,Restaurante Tacos Bili,,"Calle Jerusalén, 1, Parla",640734894,,,https://instagram.com/tacosbili?utm_medium=copy_link,,4.5,,"{""restaurant"", ""food"", ""point_of_interest"", ""establishment""}",1
ChIJG0JAiYb1QQ0RAgSGHjOHVtE,Candal kebab pizzeria,,"Calle Jerusalén, 12, Parla",911483258,,,https://candalkebab.com/,,3.0,,"{""restaurant"", ""food"", ""point_of_interest"", ""establishment""}",0
ChIJoytLtjr1QQ0R6ZQUwTHxA4E,Bar Kontiki,,"Calle Jerusalén, 2, Madrid",912324135,,,,,4.2,,"{""cafe"", ""store"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""}",1
